,Unnamed: 0,goods_id,goods_image,goods_name,goods_price,href,id,sales_volume,attr_name,example_img,counter_price,xinxin_price,bid_price_min
43,43,V2L,https://img.xinxinapp.net/community/imgs/20190611/28380668ebe127b430087072bed9b6fa_430x430.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,CANMAKE/井田 棉花糖粉饼10g,--,xinxin://www.xinxinapp.cn?route=goodsDetail&id=81oz&goods_id=V2L&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,81oz,45.0,#PN/粉嫩色,https://img.xinxinapp.net/community/imgs/20190611/dad821124509128623a8a86807e893f5_100x100.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,166,--,0
45,45,GlL,https://img.xinxinapp.net/community/imgs/20190829/f6f01450626d193570e8da79b0e2dec1_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,CHARLOTTE  TILBURY/CT 无暇清透持久蜜粉定妆粉饼,--,xinxin://www.xinxinapp.cn?route=goodsDetail&id=8mQZ&goods_id=GlL&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,8mQZ,0.0,1#Fair一白（适合偏白肤色）,https://img.xinxinapp.net/community/imgs/20190829/0d974b35c445b6bfc8f7d34212b58096_750x750.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,348,--,0
46,46,22K,https://img.xinxinapp.net/community/imgs/20190612/0e525a6de0cc4ccfe1c35073fc573d37_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,NARS/纳斯 裸光奇肌蜜粉饼7g,--,xinxin://www.xinxinapp.cn?route=goodsDetail&id=O1K7&goods_id=22K&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,O1K7,0.0,Mountain/米黄色,https://img.xinxinapp.net/community/imgs/20190612/4593a86996be365ed00f5ff284032fb6_100x100.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,400,--,0
47,47,22K,https://img.xinxinapp.net/community/imgs/20190612/7ef4fd6d4d841053f3ce328cd083c056_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,NARS/纳斯 裸光奇肌蜜粉饼7g,--,xinxin://www.xinxinapp.cn?route=goodsDetail&id=a6md&goods_id=22K&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,a6md,0.0,Snow/白皙色,https://img.xinxinapp.net/community/imgs/20190612/2a8b684a476163b6a7c146a08e5c0f05_100x100.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,400,--,0
48,48,22K,https://img.xinxinapp.net/community/imgs/20190612/2cc69128b9a8198291412aa26a185979_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,NARS/纳斯 裸光奇肌蜜粉饼7g,--,xinxin://www.xinxinapp.cn?route=goodsDetail&id=mwp5&goods_id=22K&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,mwp5,0.0,Beach/米色,https://img.xinxinapp.net/community/imgs/20190612/d810d38d0f1fe457d6db16f0fd68c052_100x100.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,400,--,0
49,49,22K,https://img.xinxinapp.net/community/imgs/20190612/a7c9c3a84a18517e69e73fae3b28c3cd_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,NARS/纳斯 裸光奇肌蜜粉饼7g,--,xinxin://www.xinxinapp.cn?route=goodsDetail&id=GLXg&goods_id=22K&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,GLXg,0.0,Heat/深桃色,https://img.xinxinapp.net/community/imgs/20190612/c2ac684ec16ac3c6afb1ef50c0e7f29f_100x100.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,400,--,0
50,50,22K,https://img.xinxinapp.net/community/imgs/20190612/2c37fb6002c6ef9e16414afa0ac03f44_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,NARS/纳斯 裸光奇肌蜜粉饼7g,--,xinxin://www.xinxinapp.cn?route=goodsDetail&id=nka3&goods_id=22K&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,nka3,0.0,Flesh/浅肤色,https://img.xinxinapp.net/community/imgs/20190612/cd8d68c5a540694412567b5974b8127f_100x100.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,400,--,0
51,51,22K,https://img.xinxinapp.net/community/imgs/20190612/422594c695e422f9e8d9f3941e489df2_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,NARS/纳斯 裸光奇肌蜜粉饼7g,--,xinxin://www.xinxinapp.cn?route=goodsDetail&id=qbrO&goods_id=22K&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,qbrO,0.0,Desert/亚麻色,https://img.xinxinapp.net/community/imgs/20190612/fb700179458bb455071a7f7eced10c7c_100x100.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,400,--,0
52,52,22K,https://img.xinxinapp.net/community/imgs/20190612/6a0084641595cce7a6bbb1a725a7122c_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,NARS/纳斯 裸光奇肌蜜粉饼7g,--,xinxin://www.xinxinapp.cn?route=goodsDetail&id=3Kwr&goods_id=22K&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,3Kwr,0.0,Valley/深肤色,https://img.xinxinapp.net/community/imgs/20190612/4a3f5e284397a373ca92c50d6e214610_100x100.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,400,--,0
53,53,22K,https://img.xinxinapp.net/community/imgs/20190612/ddefdd4136d9fdb22a4c23b41c9e1fa8_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,NARS/纳斯 裸光奇肌蜜粉饼7g,--,xinxin://www.xinxinapp.cn?route=goodsDetail&id=JLYa&goods_id=22K&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,JLYa,0.0,Eden/浅米色,https://img.xinxinapp.net/community/imgs/20190612/a08909205fab396fa3061ee8c4121c61_100x100.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,400,--,0
54,54,qBe,https://img.xinxinapp.net/community/imgs/20190614/160c587b405e40f2affc24eeee23a0b1_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,CPB/肌肤之钥 亮采柔肤粉10g,--,xinxin://www.xinxinapp.cn?route=goodsDetail&id=v6zE&goods_id=qBe&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,v6zE,0.0,#16,https://img.xinxinapp.net/community/imgs/20190617/372b6c8f29e15ded943fd5e6e3247553_750x750.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,700,--,0
55,55,qBe,https://img.xinxinapp.net/community/imgs/20190614/4a36df29c23ab429f40b5a7e7515b250_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,CPB/肌肤之钥 亮采柔肤粉10g,--,xinxin://www.xinxinapp.cn?route=goodsDetail&id=b3AV&goods_id=qBe&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,b3AV,0.0,#11,https://img.xinxinapp.net/community/imgs/20190617/4f50a04f9c564e28ed7be425924b16b9_750x750.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,700,--,0
56,56,qBe,https://img.xinxinapp.net/community/imgs/20190614/40a65b8ccc9e250a2350b4d5a29b3ba4_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,CPB/肌肤之钥 亮采柔肤粉10g,--,xinxin://www.xinxinapp.cn?route=goodsDetail&id=5nk6&goods_id=qBe&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,5nk6,0.0,#15,https://img.xinxinapp.net/community/imgs/20190617/481cb569f345ea36e6cbeb2aea7c084a_750x750.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,700,--,0
57,57,qBe,https://img.xinxinapp.net/community/imgs/20190614/a690b45ef38c0c85f3d17cfb80ff2443_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,CPB/肌肤之钥 亮采柔肤粉10g,--,xinxin://www.xinxinapp.cn?route=goodsDetail&id=Z3p1&goods_id=qBe&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,Z3p1,0.0,#18,https://img.xinxinapp.net/community/imgs/20190617/90940592dcd80714cf2afc32a019547d_750x750.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,700,--,0
58,58,Dp5,https://img.xinxinapp.net/community/imgs/20190610/eb16ba08f7e931a3333b95823770bb61_1047x1047.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,DIOR/迪奥 凝脂粉饼9g,--,xinxin://www.xinxinapp.cn?route=goodsDetail&id=GDV0&goods_id=Dp5&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,GDV0,24.0,#030/中米色,https://img.xinxinapp.net/community/imgs/20190610/9515bd5ae8eeb724c4fc154e20470318_100x100.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,570,--,0
59,59,Dp5,https://img.xinxinapp.net/community/imgs/20190610/34e882474bc4d6256e0a0b2aac8003de_1047x1047.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,DIOR/迪奥 凝脂粉饼9g,--,xinxin://www.xinxinapp.cn?route=goodsDetail&id=m3v2&goods_id=Dp5&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,m3v2,24.0,#011/米白色,https://img.xinxinapp.net/community/imgs/20190610/d7a48e995628458439f06e582d2fac89_100x100.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,570,--,0
60,60,Dp5,https://img.xinxinapp.net/community/imgs/20190610/65a05d58d003dbe22598851420114d1a_1047x1047.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,DIOR/迪奥 凝脂粉饼9g,--,xinxin://www.xinxinapp.cn?route=goodsDetail&id=OZDv&goods_id=Dp5&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,OZDv,24.0,#021/亚麻色,https://img.xinxinapp.net/community/imgs/20190610/eab78ae8e23cd391d3989465b2c4635a_100x100.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,570,--,0
