goods_id,goods_image,goods_name,goods_price,id,sales_volume,attr_name,example_img,counter_price,engName,chiName,name,code,sub_name
ywP,https://img.xinxinapp.net/community/imgs/20190613/11168970f8fefa1c2f1a92aae006bd18_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,YSL/圣罗兰 哑光唇釉丝绒雾面6ml #28/赤裸密事,--,zbon,121.0,,,,YSL,圣罗兰,哑光唇釉丝绒雾面,28,赤裸密事
ywP,https://img.xinxinapp.net/community/imgs/20190613/1a3a801ab6b47ec1190a5f576c331e51_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,YSL/圣罗兰 哑光唇釉丝绒雾面6ml #102/烟熏粉限量,--,EXnq,121.0,,,,YSL,圣罗兰,哑光唇釉丝绒雾面,102,烟熏粉限量
ywP,https://img.xinxinapp.net/community/imgs/20190613/c7b114415314071fec792553ba2773d6_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,YSL/圣罗兰 哑光唇釉丝绒雾面6ml #105/星河紫,--,Xa5v,121.0,,,,YSL,圣罗兰,哑光唇釉丝绒雾面,105,星河紫
ywP,https://img.xinxinapp.net/community/imgs/20190613/5bb9f5297846b5b0c1cf858355f7e760_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,YSL/圣罗兰 哑光唇釉丝绒雾面6ml #03/刺青玫瑰,--,rKOz,121.0,,,,YSL,圣罗兰,哑光唇釉丝绒雾面,03,刺青玫瑰
ywP,https://img.xinxinapp.net/community/imgs/20190613/7333f7ce6c63e6fc512991ca408a026a_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,YSL/圣罗兰 哑光唇釉丝绒雾面6ml #19/桃红至上,--,VQbD,121.0,,,,YSL,圣罗兰,哑光唇釉丝绒雾面,19,桃红至上
ywP,https://img.xinxinapp.net/community/imgs/20190613/959c088fdf63b33fc5da58b6e7c8836c_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,YSL/圣罗兰 哑光唇釉丝绒雾面6ml #103/锦鲤铜,--,dXdn,121.0,,,,YSL,圣罗兰,哑光唇釉丝绒雾面,103,锦鲤铜
ywP,https://img.xinxinapp.net/community/imgs/20190613/ee75762f541977f2104c69d25a7313ad_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,YSL/圣罗兰 哑光唇釉丝绒雾面6ml #106/鎏金玫,--,e1L2,121.0,,,,YSL,圣罗兰,哑光唇釉丝绒雾面,106,鎏金玫
ywP,https://img.xinxinapp.net/community/imgs/20190613/516346c49eba5dd72530101d0b31d1f2_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,YSL/圣罗兰 哑光唇釉丝绒雾面6ml #15/紫夜独白,--,589X,121.0,,,,YSL,圣罗兰,哑光唇釉丝绒雾面,15,紫夜独白
ywP,https://img.xinxinapp.net/community/imgs/20190613/6f9f0b5f78d664e23dcef1c71d10f1a5_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,YSL/圣罗兰 哑光唇釉丝绒雾面6ml #20/粉红帮派,--,ZyVY,121.0,,,,YSL,圣罗兰,哑光唇釉丝绒雾面,20,粉红帮派
ywP,https://img.xinxinapp.net/community/imgs/20190613/2938f432e431df197b2d167c888d320c_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,YSL/圣罗兰 哑光唇釉丝绒雾面6ml #27/醉色邂逅,--,9PDk,121.0,,,,YSL,圣罗兰,哑光唇釉丝绒雾面,27,醉色邂逅
ywP,https://img.xinxinapp.net/community/imgs/20190613/038091a683d8a6a83901f973d81e93bb_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,YSL/圣罗兰 哑光唇釉丝绒雾面6ml #101/锦鲤红限量,--,NVKw,121.0,,,,YSL,圣罗兰,哑光唇釉丝绒雾面,101,锦鲤红限量
