goods_id,goods_image,goods_name,goods_price,href,id,sales_volume,engName,chiName,Name,size
y61,https://img.xinxinapp.net/community/imgs/20190612/51fdeef53bb0a791df9fed04bbbf72da_800x800.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,L'Artisan Parfumeur/阿蒂仙之香 冥府之路 100ml,1094,xinxin://www.xinxinapp.cn?route=goodsDetail&id=nkpa&goods_id=y61&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,nkpa,3.0,L'Artisan Parfumeur,阿蒂仙之香,冥府之路,100.0
YBJ,https://img.xinxinapp.net/community/imgs/20190617/cccc719df998870bef55f9f624f719c9_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,Calvin Klein/卡文克莱 One Be 中性男士女士淡香水 200ml,189,xinxin://www.xinxinapp.cn?route=goodsDetail&id=7kO7&goods_id=YBJ&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,7kO7,57.0,Calvin Klein,卡文克莱,One Be 中性男士女士淡香水,200.0
DNx,https://img.xinxinapp.net/community/imgs/20190614/8a914e5350c5fdf59804777dd98e79b1_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,VERSACE/范思哲 云淡风轻（绅情）男士香水 100ml,349,xinxin://www.xinxinapp.cn?route=goodsDetail&id=zbk3&goods_id=DNx&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,zbk3,6.0,VERSACE,范思哲,云淡风轻（绅情）男士香水,100.0
knb,https://img.xinxinapp.net/community/imgs/20190617/9723d00838bfb3d1c01f437ad3d75307_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,Calvin Klein/卡文克莱 One 唯一中性男士女士香水 200ml,202,xinxin://www.xinxinapp.cn?route=goodsDetail&id=QeK&goods_id=knb&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,QeK,136.0,Calvin Klein,卡文克莱,One 唯一中性男士女士香水,200.0
wam,https://img.xinxinapp.net/community/imgs/20190613/bd4e5b00e16bebf1148b7719cdc6a633_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,Diptyque/蒂普提克 谭道淡香水 100ml,830,xinxin://www.xinxinapp.cn?route=goodsDetail&id=KOz7&goods_id=wam&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,KOz7,0.0,Diptyque,蒂普提克,谭道淡香水,100.0
N1P,https://img.xinxinapp.net/community/imgs/20190610/92ddad3e105bf888d5eba9a71cfbda13_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,Gucci/古驰 罪爱（原罪）女士香水 30ml,262,xinxin://www.xinxinapp.cn?route=goodsDetail&id=VxEl&goods_id=N1P&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,VxEl,66.0,Gucci,古驰,罪爱（原罪）女士香水,30.0
N1P,https://img.xinxinapp.net/community/imgs/20190910/45f8646f9f16c832acaf2de532a56181_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,Gucci/古驰 罪爱（原罪）女士香水 75ml,378,xinxin://www.xinxinapp.cn?route=goodsDetail&id=ZrXR&goods_id=N1P&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,ZrXR,66.0,Gucci,古驰,罪爱（原罪）女士香水,75.0
qrJ,https://img.xinxinapp.net/community/imgs/20190614/6b2b6d551e8ef6924265649f480edaac_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,CHANEL/香奈儿 绿邂逅清新淡香水 100ml,764,xinxin://www.xinxinapp.cn?route=goodsDetail&id=5E5V&goods_id=qrJ&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,5E5V,13.0,CHANEL,香奈儿,绿邂逅清新淡香水,100.0
nam,https://img.xinxinapp.net/community/imgs/20190614/2bb2a15c573663dbadb834eabdaa570e_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,CHANEL/香奈儿 黄邂逅淡香水 100ml,896,xinxin://www.xinxinapp.cn?route=goodsDetail&id=lrnl&goods_id=nam&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,lrnl,14.0,CHANEL,香奈儿,黄邂逅淡香水,100.0
KwD,https://img.xinxinapp.net/community/imgs/20190612/308693c69839b7458646a100098c8c0f_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,ARMANI/乔治阿玛尼 寄情男士香水  50ML,448,xinxin://www.xinxinapp.cn?route=goodsDetail&id=6gE1&goods_id=KwD&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,6gE1,11.0,ARMANI,乔治阿玛尼,寄情男士香水 ,50.0
