goods_id,goods_image,goods_name,goods_price,href,id,sales_volume,attr_name,example_img,counter_price,xinxin_price,bid_price_min
wZk,https://img.xinxinapp.net/community/imgs/20190612/879bf9bd2bd8eff8fe7a59b45e1ba647_497x556.png?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,NYX 六色遮瑕盘9g #01（新版）,--,xinxin://www.xinxinapp.cn?route=goodsDetail&id=5rYw&goods_id=wZk&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,5rYw,59.0,#01（新版）,,140,--,0
wxD6,https://img.xinxinapp.net/community/imgs/20191104/1abda0a39435f07ce4250508d1f98772_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,NARS 光亮柔滑遮瑕膏6ml Macadamia,--,xinxin://www.xinxinapp.cn?route=goodsDetail&id=Ln3L&goods_id=wxD6&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,Ln3L,16.0,Macadamia,https://img.xinxinapp.net/community/imgs/20191104/86eb7e2cae7813f40866fd5f9e8feb74_200x200.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,300,--,0
5Pb6,https://img.xinxinapp.net/community/imgs/20191104/b9d78787f2bd247fdf6fc32a6f16d492_800x800.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,完美日记 遮瑕液 #B00自然偏白70ml,--,xinxin://www.xinxinapp.cn?route=goodsDetail&id=0dpR&goods_id=5Pb6&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,0dpR,0.0,#B00自然偏白70ml,,39,--,0
5Pb6,https://img.xinxinapp.net/community/imgs/20191104/98ee15cc08ac17f6b2900d6c1310ddad_800x800.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,完美日记 遮瑕液 #C10白皙色70ml,--,xinxin://www.xinxinapp.cn?route=goodsDetail&id=7g1D&goods_id=5Pb6&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,7g1D,0.0,#C10白皙色70ml,,39,--,0
5Pb6,https://img.xinxinapp.net/community/imgs/20191104/3d2aa34e3058ecb93b531d6252393429_800x800.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,完美日记 遮瑕液 #B10自然色70ml,--,xinxin://www.xinxinapp.cn?route=goodsDetail&id=bRkr&goods_id=5Pb6&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,bRkr,0.0,#B10自然色70ml,,39,--,0
wxD6,https://img.xinxinapp.net/community/imgs/20191104/a583d702021ef4b3a0d567f6a2b24443_800x800.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,NARS 光亮柔滑遮瑕膏6ml Sucre Dorge,--,xinxin://www.xinxinapp.cn?route=goodsDetail&id=DQGd&goods_id=wxD6&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,DQGd,16.0,Sucre Dorge,https://img.xinxinapp.net/community/imgs/20191104/b57920b4de81c749cf1227d2dcf732c8_200x200.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,300,--,0
wxD6,https://img.xinxinapp.net/community/imgs/20191104/cc6fb7f920072e8a81d0b8004076b125_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,NARS 光亮柔滑遮瑕膏6ml Cannelle,--,xinxin://www.xinxinapp.cn?route=goodsDetail&id=YPLZ&goods_id=wxD6&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,YPLZ,16.0,Cannelle,https://img.xinxinapp.net/community/imgs/20191104/69f8c848624a19c29b61eb7ef657e42f_200x200.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,300,--,0
wxD6,https://img.xinxinapp.net/community/imgs/20191104/3f6ea2d423f295df743564d9d80b38d7_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,NARS 光亮柔滑遮瑕膏6ml Cafe Au Lait,--,xinxin://www.xinxinapp.cn?route=goodsDetail&id=JQwL&goods_id=wxD6&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,JQwL,16.0,Cafe Au Lait,https://img.xinxinapp.net/community/imgs/20191104/47a7bc2e9ff9632073cc85227df1e76f_200x200.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,300,--,0
wxD6,https://img.xinxinapp.net/community/imgs/20191104/c1292588f2f078b8ba1b9b00cfe8b4e4_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,NARS 光亮柔滑遮瑕膏6ml Praline,--,xinxin://www.xinxinapp.cn?route=goodsDetail&id=GQ2b&goods_id=wxD6&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,GQ2b,16.0,Praline,https://img.xinxinapp.net/community/imgs/20191104/c994163b4a303b1b67a7b1f544d57ca4_200x200.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,300,--,0
wxD6,https://img.xinxinapp.net/community/imgs/20191104/82d71d734eef9e7c9563c294a17c9176_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,NARS 光亮柔滑遮瑕膏6ml Creme Brulee,--,xinxin://www.xinxinapp.cn?route=goodsDetail&id=6e6p&goods_id=wxD6&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,6e6p,16.0,Creme Brulee,https://img.xinxinapp.net/community/imgs/20191104/ef72be134e192132493e753e6d9f58f2_200x200.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,3,--,0
wxD6,https://img.xinxinapp.net/community/imgs/20191104/15a448c0b80713eeba0b52cd65f28ed6_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,NARS 光亮柔滑遮瑕膏6ml Affogato,--,xinxin://www.xinxinapp.cn?route=goodsDetail&id=aezl&goods_id=wxD6&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,aezl,16.0,Affogato,https://img.xinxinapp.net/community/imgs/20191104/632ab94f2a788f1ece262d35b96ff070_200x200.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,300,--,0
wxD6,https://img.xinxinapp.net/community/imgs/20191104/5cd9ffaa4b2e04c7387228e01514f2eb_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,NARS 光亮柔滑遮瑕膏6ml Nougatine,--,xinxin://www.xinxinapp.cn?route=goodsDetail&id=mOk1&goods_id=wxD6&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,mOk1,16.0,Nougatine,https://img.xinxinapp.net/community/imgs/20191104/61f41d325c15dcd9643a81c20d775041_200x200.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,300,--,0
wxD6,https://img.xinxinapp.net/community/imgs/20191104/793388aa9ab3a8a45a7e278f9b7fe5af_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,NARS 光亮柔滑遮瑕膏6ml Tiramisu,--,xinxin://www.xinxinapp.cn?route=goodsDetail&id=dDXJ&goods_id=wxD6&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,dDXJ,16.0,Tiramisu,https://img.xinxinapp.net/community/imgs/20191104/5a92c1d1d79dccee1960a01ca89ef7ed_200x200.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,300,--,0
wxD6,https://img.xinxinapp.net/community/imgs/20191104/208dcee18c64ed8daae4c87f62671ec2_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,NARS 光亮柔滑遮瑕膏6ml Marron Glace,--,xinxin://www.xinxinapp.cn?route=goodsDetail&id=gRl0&goods_id=wxD6&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,gRl0,16.0,Marron Glace,https://img.xinxinapp.net/community/imgs/20191104/15cc217496f651ff046ad5c661c1f436_200x200.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,300,--,0
wxD6,https://img.xinxinapp.net/community/imgs/20191104/f09211aa3643be9f0840a423d0d25b65_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,NARS 光亮柔滑遮瑕膏6ml Madeleine,--,xinxin://www.xinxinapp.cn?route=goodsDetail&id=nKwL&goods_id=wxD6&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,nKwL,16.0,Madeleine,https://img.xinxinapp.net/community/imgs/20191104/a999a01f6f8f4bbf11d7618a43632aa4_200x200.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,300,--,0
wxD6,https://img.xinxinapp.net/community/imgs/20191104/f1df5292d3c7f463e427fe7b8af76cc6_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,NARS 光亮柔滑遮瑕膏6ml Crema Catalana,--,xinxin://www.xinxinapp.cn?route=goodsDetail&id=qo75&goods_id=wxD6&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,qo75,16.0,Crema Catalana,https://img.xinxinapp.net/community/imgs/20191104/825b6f736dbc3b3e9d187e8c673cee99_200x200.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,300,--,0
wxD6,https://img.xinxinapp.net/community/imgs/20191104/73857f67b2db613337ce90a805ff2854_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,NARS 光亮柔滑遮瑕膏6ml Toffee,--,xinxin://www.xinxinapp.cn?route=goodsDetail&id=OkPP&goods_id=wxD6&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,OkPP,16.0,Toffee,https://img.xinxinapp.net/community/imgs/20191104/f354c641aa4e928ffa55cbf5d05d8a18_200x200.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,300,--,0
