goods_id,goods_image,goods_name,goods_price,href,id,sales_volume,attr_name,example_img,counter_price,xinxin_price,bid_price_min
EQ1,https://img.xinxinapp.net/community/imgs/20190611/6980f6a7f0d21964e5afdab49374ecda_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,LAURA MERCIER/罗拉玛斯亚 透明散粉 29g,224,xinxin://www.xinxinapp.cn?route=goodsDetail&id=KnR8&goods_id=EQ1&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,KnR8,18.0,29g,,450.0,224,224.0
k5x,https://img.xinxinapp.net/community/imgs/20190611/1a9617701e886020776502661866d60a_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,COSME DECORTE /黛珂 AQMW柔光缎采蜜粉20g #000/Translucent,297,xinxin://www.xinxinapp.cn?route=goodsDetail&id=kOby&goods_id=k5x&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,kOby,44.0,#000/Translucent,https://img.xinxinapp.net/community/imgs/20190611/a31241b64a4852a13d438dd2da496b09_100x100.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,380.0,297,297.0
bxbr,https://img.xinxinapp.net/community/imgs/20191025/efda781bdda2eb78a1c492f1aa2797ca_800x800.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,MAKE UP FOR EVER/浮生若梦 丝绒无瑕持妆粉饼 Y215 杏仁白,311,xinxin://www.xinxinapp.cn?route=goodsDetail&id=kYgJ&goods_id=bxbr&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,kYgJ,6.0,Y215 杏仁白,https://img.xinxinapp.net/community/imgs/20191025/de54ca6db71159ada56d9453e2005c34_400x400.png?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,430.0,311,311.0
bxbr,https://img.xinxinapp.net/community/imgs/20191025/fe09f98ffa2fc29bf0389f06790dcbba_800x800.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,MAKE UP FOR EVER/浮生若梦 丝绒无瑕持妆粉饼 Y255 玉白色,311,xinxin://www.xinxinapp.cn?route=goodsDetail&id=K1B7&goods_id=bxbr&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,K1B7,6.0,Y255 玉白色,https://img.xinxinapp.net/community/imgs/20191025/14610858c963fee42e95e7c275dbceca_400x400.png?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,430.0,311,311.0
Awb,https://img.xinxinapp.net/community/imgs/20190606/0353f051ab8c3442eb2c40766acef79d_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,GIVENCHY/纪梵希 四色四宫格散粉4*3g #02/Taffetas Bege 塔夫米色,288,xinxin://www.xinxinapp.cn?route=goodsDetail&id=rzz&goods_id=Awb&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,rzz,692.0,#02/Taffetas Bege 塔夫米色,https://img.xinxinapp.net/community/imgs/20190624/52a25b0cee333b3439e3761b1b2ca6cc_100x100.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,535.0,288,288.0
wR9,https://img.xinxinapp.net/community/imgs/20190620/79fc00ebcef609ef98f974c12743eeba_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,NARS 流光美肌轻透蜜粉饼（大白饼） 透明色7g,220,xinxin://www.xinxinapp.cn?route=goodsDetail&id=yo5Y&goods_id=wR9&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,yo5Y,205.0,透明色7g,https://img.xinxinapp.net/community/imgs/20190620/6c8f19f3b427aedca2131e904cb3b641_100x100.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,400.0,220,220.0
Vel,https://img.xinxinapp.net/community/imgs/20190814/ce519d7c5d9a2468c7ceeff213e0cd9d_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,CLUB 晚安素颜粉26g 彩色玫瑰,95,xinxin://www.xinxinapp.cn?route=goodsDetail&id=XK8v&goods_id=Vel&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,XK8v,6.0,,,,,
V2L,https://img.xinxinapp.net/community/imgs/20190611/5384f2d17f1186f8776ef8f95c5cbcdf_430x430.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,CANMAKE/井田 棉花糖粉饼10g #MB/自然肤色,90,xinxin://www.xinxinapp.cn?route=goodsDetail&id=rAm2&goods_id=V2L&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,rAm2,49.0,#MB/自然肤色,https://img.xinxinapp.net/community/imgs/20190611/e956862ae15d238275af4377a0a7171e_100x100.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,166.0,90,90.0
V2L,https://img.xinxinapp.net/community/imgs/20190611/4dbe14bb0411ad15be3c2ec0b75f99bc_458x458.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,CANMAKE/井田 棉花糖粉饼10g #MO/浅肤色,82,xinxin://www.xinxinapp.cn?route=goodsDetail&id=22E7&goods_id=V2L&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,22E7,49.0,#MO/浅肤色,https://img.xinxinapp.net/community/imgs/20190611/a8df1612ffd424f4d7ec32f7be8ca560_100x100.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,166.0,82,82.0
k5x,https://img.xinxinapp.net/community/imgs/20190611/e6afab2a88cdfe396e23e5bf41eda65d_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,COSME DECORTE /黛珂 AQMW柔光缎采蜜粉20g #011/Luminary lvory,297,xinxin://www.xinxinapp.cn?route=goodsDetail&id=2nRY&goods_id=k5x&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,2nRY,44.0,#011/Luminary lvory,https://img.xinxinapp.net/community/imgs/20190611/4363cbf3519227e5c606555b43df3222_100x100.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,380.0,297,297.0
