goods_id,goods_image,goods_name,goods_price,href,id,sales_volume,attr_name,example_img,counter_price,xinxin_price,bid_price_min
aEL,https://img.xinxinapp.net/community/imgs/20190613/1ab3fe821f87ef780b86dc8f8891603b_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,YSL/圣罗兰 莹亮纯魅圆管唇膏 #80,176,xinxin://www.xinxinapp.cn?route=goodsDetail&id=3olL&goods_id=aEL&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22transform%22%2C%22from_url_id%22%3A%22%22%7D,3olL,825.0,#80,https://img.xinxinapp.net/community/imgs/20190613/200798fa75c679361d18113af7d79dc3_100x100.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,320.0,176,176.0
kKP,https://img.xinxinapp.net/community/imgs/20190611/e0d672b4b8ecf0959b3711f3efc83090_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,MAC/魅可 磨砂唇膏3g #316/Devoted To Chili柔雾小辣椒,125,xinxin://www.xinxinapp.cn?route=goodsDetail&id=8kPK&goods_id=kKP&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22transform%22%2C%22from_url_id%22%3A%22%22%7D,8kPK,1103.0,#316/Devoted To Chili柔雾小辣椒热卖,https://img.xinxinapp.net/community/imgs/20190611/de9bed86ba40f86d6671f12576a46f28_100x100.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,170.0,125,125.0
vxL,https://img.xinxinapp.net/community/imgs/20190606/7f23faf97a8ffb75e8e4d4bb3b9b5e8b_518x518.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,DIOR/迪奥 烈焰蓝金唇膏口红3.5g #999/Satin滋润版,168,xinxin://www.xinxinapp.cn?route=goodsDetail&id=7QN&goods_id=vxL&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22transform%22%2C%22from_url_id%22%3A%22%22%7D,7QN,2210.0,#999/Satin滋润版热卖,https://img.xinxinapp.net/community/imgs/20190606/4ae90d1fb031d3c18f4d2fa0a810f1c0_100x100.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,315.0,168,168.0
aKL,https://img.xinxinapp.net/community/imgs/20190610/4b5d7759439f72bc79d5409ae4c67104_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,MAC/魅可 子弹头唇膏口红3g #646/Marrakesh脏橘色,111,xinxin://www.xinxinapp.cn?route=goodsDetail&id=Z1Ax&goods_id=aKL&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22transform%22%2C%22from_url_id%22%3A%22%22%7D,Z1Ax,3001.0,#646/Marrakesh脏橘色热卖,https://img.xinxinapp.net/community/imgs/20190610/1663e2e9ca21f03c65127d2abdcb5647_100x100.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,170.0,111,111.0
A0J,https://img.xinxinapp.net/community/imgs/20190906/57e010474d8c47b472552ea5175e8003_800x800.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,YSL/圣罗兰 小银条唇膏 #107/Bare Burgundy,254,xinxin://www.xinxinapp.cn?route=goodsDetail&id=mYQ2&goods_id=A0J&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22transform%22%2C%22from_url_id%22%3A%22%22%7D,mYQ2,362.0,#107/Bare Burgundy,https://img.xinxinapp.net/community/imgs/20190906/a68b1ec08af1da913a0d0696deb341d1_48x52.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,320.0,254,254.0
wrk,https://img.xinxinapp.net/community/imgs/20190918/857249a9840ea549491ade19abdffeb2_800x800.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,ARMANI/乔治阿玛尼 红管唇釉 #415/Redwood,279,xinxin://www.xinxinapp.cn?route=goodsDetail&id=b58k&goods_id=wrk&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22transform%22%2C%22from_url_id%22%3A%22%22%7D,b58k,1890.0,#415/Redwood,https://img.xinxinapp.net/community/imgs/20190918/fe80212e94d686bea5ffb4882504790e_107x96.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,310.0,279,279.0
NeQ,https://img.xinxinapp.net/community/imgs/20190610/ac40b1435e333ad79c1b2c2eee54c2ea_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,ARMANI/乔治阿玛尼 全新挚爱哑光唇膏4g #400,208,xinxin://www.xinxinapp.cn?route=goodsDetail&id=ALvy&goods_id=NeQ&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22transform%22%2C%22from_url_id%22%3A%22%22%7D,ALvy,154.0,#400热卖,https://img.xinxinapp.net/community/imgs/20190610/efadea07c02a6a6f6b454947830dd6c8_100x100.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,320.0,208,208.0
kOx,https://img.xinxinapp.net/community/imgs/20190610/29be3302b773dc529c1767a422b16244_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,GIVENCHY/纪梵希 小羊皮唇膏3.4g N°306,187,xinxin://www.xinxinapp.cn?route=goodsDetail&id=5PAk&goods_id=kOx&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22transform%22%2C%22from_url_id%22%3A%22%22%7D,5PAk,994.0,N°306热卖,https://img.xinxinapp.net/community/imgs/20190610/07eb5db4e4e3bd257207e0f8e2e000c4_100x100.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,345.0,187,187.0
wrk,https://img.xinxinapp.net/community/imgs/20190612/fb0890a2207010928c07e6861012b082_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,ARMANI/乔治阿玛尼 红管唇釉 #200/Terra,198,xinxin://www.xinxinapp.cn?route=goodsDetail&id=yx01&goods_id=wrk&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22transform%22%2C%22from_url_id%22%3A%22%22%7D,yx01,1890.0,#200/Terra热卖,https://img.xinxinapp.net/community/imgs/20190612/7061f61e2e44ce55676c8d3e1fb1e597_100x100.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,310.0,198,198.0
aKL,https://img.xinxinapp.net/community/imgs/20190610/137233bacb6f7237afa1af91fc25792e_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,MAC/魅可 子弹头唇膏口红3g #707/Ruby Woo经典正红色,119,xinxin://www.xinxinapp.cn?route=goodsDetail&id=z1Ep&goods_id=aKL&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22transform%22%2C%22from_url_id%22%3A%22%22%7D,z1Ep,3001.0,#707/Ruby Woo经典正红色热卖,https://img.xinxinapp.net/community/imgs/20190610/34fb8ed48f1767ad125d7360f714520b_100x100.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,170.0,119,119.0
